DOB,ssn
1950-08-23,890105302
1974-06-13,940652095
1979-10-03,954747568
1913-10-13,381347399
1933-05-29,14752145
1984-10-09,330340812
1940-06-15,990522400
1945-02-07,255710595
1924-02-23,507679232
1944-02-24,194689290
1985-07-17,758503306
1973-03-23,702412401
1947-02-27,311934800
1971-12-14,872083374
1963-10-19,122146825
1977-01-03,893117609
1965-11-11,647228910
1985-11-03,312170232
1952-06-11,53493630
1952-10-29,819972546
1922-02-10,607867342
1952-12-05,306338768
1953-02-10,792832196
1961-03-09,213666300
1942-03-20,787728289
1954-06-06,487752278
1955-01-24,761879811
1981-01-31,85352230
1913-01-01,197506034
1948-03-19,5755477
1951-01-21,803193712
1952-08-24,235765946
1941-01-19,919997997
1911-05-03,116318876
1916-03-23,264760917
1922-04-26,564851805
1988-06-29,132033337
1980-05-16,144024639
1944-06-02,242327814
1979-12-12,718302265
1963-09-26,196154209
1947-11-02,791514179
1953-11-18,44565022
1945-03-05,620656522
1960-10-01,878191772
1922-05-31,203553865
1928-03-09,156191226
1965-04-25,453398298
1910-08-12,593040727
1976-11-22,958300801
1921-03-03,300725776
1958-09-15,688658981
1968-03-10,504777943
1915-06-25,611015357
1977-10-07,995601608
1955-07-28,914372771
1947-06-05,880256696
1971-04-17,190745668
1978-01-01,379557729
1923-09-20,570035409
1933-02-23,562091570
1932-11-08,819195832
1918-12-15,500573178
1957-12-28,819671067
1947-11-11,110587872
1975-01-27,538313038
1981-04-27,352104994
1988-04-30,60596431
1967-01-16,734242946
1942-07-12,544094328
1940-07-03,184789249
1972-07-08,256265905
1934-06-10,729407038
1912-07-11,845201549
1931-08-14,386945313
1933-05-08,625412856
1985-10-22,167371940
1946-01-16,743347305
1967-11-05,769107845
1990-06-26,972963589
1950-08-16,660179843
1980-06-07,919697084
1981-07-08,812011768
1931-08-13,423217354
1989-08-07,517924562
1983-03-20,640518529
1984-09-30,968278042
1930-06-01,458932190
1961-07-05,553403215
1925-09-09,264390710
1979-09-12,949981049
1959-06-13,628515727
1985-12-12,976845851
1939-01-10,802479165
1916-05-13,255745891
1939-12-17,296545297
1945-06-17,387002264
1911-01-26,150235731
1910-07-21,796901224
1934-11-15,475908559
1912-02-08,780702105
1948-07-05,843971271
